#Collected Data-386
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
10.0000 25582.0000
10.0200 25317.0000
10.0400 25570.0000
10.0600 25651.0000
10.0800 25489.0000
10.1000 25531.0000
10.1200 25248.0000
10.1400 25420.0000
10.1600 25393.0000
10.1800 25747.0000
10.2000 25166.0000
10.2200 25286.0000
10.2400 25265.0000
10.2600 25059.0000
10.2800 25287.0000
10.3000 25331.0000
10.3200 25305.0000
10.3400 25013.0000
10.3600 24967.0000
10.3800 25157.0000
10.4000 25238.0000
10.4200 25302.0000
10.4400 25170.0000
10.4600 24854.0000
10.4800 25109.0000
10.5000 25090.0000
10.5200 24978.0000
10.5400 25213.0000
10.5600 25033.0000
10.5800 24758.0000
10.6000 24869.0000
10.6200 24802.0000
10.6400 24603.0000
10.6600 24771.0000
10.6800 24710.0000
10.7000 24528.0000
10.7200 24770.0000
10.7400 24479.0000
10.7600 24644.0000
10.7800 24748.0000
10.8000 24701.0000
10.8200 24525.0000
10.8400 24593.0000
10.8600 24549.0000
10.8800 24796.0000
10.9000 24681.0000
10.9200 24522.0000
10.9400 24327.0000
10.9600 24460.0000
10.9800 24622.0000
11.0000 24451.0000
11.0200 24552.0000
11.0400 24525.0000
11.0600 24117.0000
11.0800 24151.0000
11.1000 24242.0000
11.1200 24233.0000
11.1400 24428.0000
11.1600 24159.0000
11.1800 23934.0000
11.2000 24368.0000
11.2200 24398.0000
11.2400 24413.0000
11.2600 24261.0000
11.2800 23964.0000
11.3000 24256.0000
11.3200 24227.0000
11.3400 24340.0000
11.3600 23603.0000
11.3800 23557.0000
11.4000 24036.0000
11.4200 23923.0000
11.4400 23832.0000
11.4600 23788.0000
11.4800 23757.0000
11.5000 23839.0000
11.5200 23930.0000
11.5400 23892.0000
11.5600 23899.0000
11.5800 23941.0000
11.6000 23629.0000
11.6200 23571.0000
11.6400 23508.0000
11.6600 23773.0000
11.6800 23336.0000
11.7000 23503.0000
11.7200 23258.0000
11.7400 23577.0000
11.7600 23531.0000
11.7800 23417.0000
11.8000 23712.0000
11.8200 23516.0000
11.8400 23545.0000
11.8600 23523.0000
11.8800 23413.0000
11.9000 23423.0000
11.9200 23347.0000
11.9400 23226.0000
11.9600 23175.0000
11.9800 23437.0000
12.0000 23254.0000
12.0200 23095.0000
12.0400 23285.0000
12.0600 23206.0000
12.0800 23043.0000
12.1000 23206.0000
12.1200 23084.0000
12.1400 23056.0000
12.1600 23110.0000
12.1800 23347.0000
12.2000 23223.0000
12.2200 23014.0000
12.2400 23084.0000
12.2600 23001.0000
12.2800 23022.0000
12.3000 23214.0000
12.3200 22984.0000
12.3400 22854.0000
12.3600 22770.0000
12.3800 22908.0000
12.4000 22734.0000
12.4200 22975.0000
12.4400 22627.0000
12.4600 22757.0000
12.4800 22465.0000
12.5000 22610.0000
12.5200 22533.0000
12.5400 22553.0000
12.5600 22571.0000
12.5800 22595.0000
12.6000 22483.0000
12.6200 22369.0000
12.6400 22200.0000
12.6600 22498.0000
12.6800 22361.0000
12.7000 22351.0000
12.7200 22538.0000
12.7400 22266.0000
12.7600 22374.0000
12.7800 22373.0000
12.8000 22351.0000
12.8200 22311.0000
12.8400 22166.0000
12.8600 22238.0000
12.8800 22061.0000
12.9000 22006.0000
12.9200 22157.0000
12.9400 22230.0000
12.9600 21988.0000
12.9800 21998.0000
13.0000 21972.0000
13.0200 22029.0000
13.0400 22129.0000
13.0600 22048.0000
13.0800 21753.0000
13.1000 21774.0000
13.1200 21839.0000
13.1400 21779.0000
13.1600 22098.0000
13.1800 21905.0000
13.2000 22135.0000
13.2200 21781.0000
13.2400 21680.0000
13.2600 21628.0000
13.2800 21671.0000
13.3000 21828.0000
13.3200 21913.0000
13.3400 21852.0000
13.3600 21498.0000
13.3800 21794.0000
13.4000 21748.0000
13.4200 21447.0000
13.4400 21770.0000
13.4600 21540.0000
13.4800 21573.0000
13.5000 21663.0000
13.5200 21417.0000
13.5400 21371.0000
13.5600 21447.0000
13.5800 21305.0000
13.6000 21454.0000
13.6200 21611.0000
13.6400 21170.0000
13.6600 21486.0000
13.6800 21497.0000
13.7000 21315.0000
13.7200 21486.0000
13.7400 21288.0000
13.7600 21401.0000
13.7800 21201.0000
13.8000 21135.0000
13.8200 21210.0000
13.8400 21137.0000
13.8600 21335.0000
13.8800 21138.0000
13.9000 21099.0000
13.9200 21119.0000
13.9400 20963.0000
13.9600 20787.0000
13.9800 21029.0000
14.0000 21050.0000
14.0200 20888.0000
14.0400 20613.0000
14.0600 20892.0000
14.0800 20774.0000
14.1000 20561.0000
14.1200 20837.0000
14.1400 20920.0000
14.1600 21143.0000
14.1800 20780.0000
14.2000 20667.0000
14.2200 20850.0000
14.2400 20548.0000
14.2600 20617.0000
14.2800 20882.0000
14.3000 20867.0000
14.3200 20900.0000
14.3400 20823.0000
14.3600 20626.0000
14.3800 20538.0000
14.4000 20791.0000
14.4200 20723.0000
14.4400 20645.0000
14.4600 20645.0000
14.4800 20664.0000
14.5000 20714.0000
14.5200 20667.0000
14.5400 20541.0000
14.5600 20356.0000
14.5800 20528.0000
14.6000 20403.0000
14.6200 20493.0000
14.6400 20466.0000
14.6600 20320.0000
14.6800 20355.0000
14.7000 20597.0000
14.7200 20552.0000
14.7400 20188.0000
14.7600 20386.0000
14.7800 20110.0000
14.8000 20240.0000
14.8200 20145.0000
14.8400 20421.0000
14.8600 20293.0000
14.8800 20101.0000
14.9000 20000.0000
14.9200 20211.0000
14.9400 20317.0000
14.9600 20096.0000
14.9800 20225.0000
15.0000 20196.0000
15.0200 20095.0000
15.0400 20231.0000
15.0600 19854.0000
15.0800 19681.0000
15.1000 20049.0000
15.1200 20173.0000
15.1400 20003.0000
15.1600 20308.0000
15.1800 20086.0000
15.2000 19669.0000
15.2200 20053.0000
15.2400 19947.0000
15.2600 20112.0000
15.2800 20004.0000
15.3000 20017.0000
15.3200 20025.0000
15.3400 19957.0000
15.3600 19898.0000
15.3800 20024.0000
15.4000 19814.0000
15.4200 19874.0000
15.4400 19670.0000
15.4600 19878.0000
15.4800 19867.0000
15.5000 20077.0000
15.5200 19992.0000
15.5400 20124.0000
15.5600 19654.0000
15.5800 19744.0000
15.6000 19699.0000
15.6200 19754.0000
15.6400 19675.0000
15.6600 19689.0000
15.6800 19974.0000
15.7000 19849.0000
15.7200 19787.0000
15.7400 19773.0000
15.7600 19609.0000
15.7800 19660.0000
15.8000 19708.0000
15.8200 19667.0000
15.8400 19672.0000
15.8600 19602.0000
15.8800 19691.0000
15.9000 19581.0000
